lang;name
bg;президент
es;presidente
cs;prezident
da;formand
de;Präsident
et;president
el;Πρόεδρος
en;president
fr;Président
ga;presidente
hr;predsjednik
it;Presidente
lv;prezidents
lt;prezidentas
hu;elnök
mt;president
nl;president
pl;przewodnicząc
pt;presidente
ro;președinte
sk;prezident
sl;predsednik
fi;presidentti
sv;president

